name,date,time,description,type,cancelled,url
Ringtone Workshop,2025-05-20,19:00,been & gone :(,performances,FALSE ,https://lclo.otherkat.com/ringtoneworkshop/
Peckham Chamber Orchestra Summer Concert,2025-08-20,19:00,been & gone :(,performances,FALSE,https://peckhamchamberorchestra.co.uk/
Start Up - Sounds,2025-02-10,19:00,been & gone :(,performances,FALSE,https://www.instagram.com/p/DOyXWY-CH2W/
This Is Not A Workshop,2025-11-21,19:00,been & gone :(,performances,FALSE,
Rehersal,2026-02-26,19:00,@ the Barbican. Whatsapp group for details. Bring a laptop!!!,rehersals,FALSE,
Rehersal,2026-03-12,19:00,@ the Barbican. Whatsapp group for details. Bring a laptop!!!,rehersals,FALSE,
Rehersal,2026-03-19,19:00,@ the Barbican. Whatsapp group for details. Bring a laptop!!!,rehersals,FALSE,
Against the Clock,2026-03-20,19:30,"@ Vespers Club, Peckham, SE15 4BQ",performances,FALSE,https://gel.now/events/73
Rehersal,2026-03-26,19:00,@ the Barbican. Whatsapp group for details. Bring a laptop!!!,rehersals,TRUE,
Rehersal,2026-04-09,19:00,@ the Barbican. Whatsapp group for details. Bring a laptop!!!,rehersals,FALSE,
Rehersal,2026-04-23,19:00,@ the Barbican. Whatsapp group for details. Bring a laptop!!!,rehersals,FALSE,
Rehersal,2026-05-07,19:00,@ the Barbican. Whatsapp group for details. Bring a laptop!!!,rehersals,FALSE,
Rehersal,2026-05-21,19:00,@ the Barbican. Whatsapp group for details. Bring a laptop!!!,rehersals,FALSE,
ensembleugh,2026-06-18,19:00,"@ St Giles Church, Camberwell",performances,FALSE,https://www.benjijeffrey.com/ensembleugh
Rehersal,2026-07-04,16:00,"@ Archbishop Tenison's School, Oval, SE11 5SR.",rehersals,FALSE,
slow impulse,2026-07-12,17:30,"@ Archbishop Tenison's School, Oval, SE11 5SR. Part of Can We Start Again festival.",performances,FALSE,"https://www.instagram.com/p/DaI6cekCKkb/?img_index=1"
lclo x złom,2026-07-18,19:30,"@ Spanners, arch 504, Lgbr Junction, SW9 7EX",performances,FALSE,https://ra.co/events/2464514
Rehersal,2026-07-30,19:00,Venue TBC. Whatsapp group for details. Bring a laptop!!!,rehersals,FALSE,
lclo @ creative intelligence festival,2026-09-11,11:00,"@ the Southbank Centre. More details soon!",performances,FALSE,https://www.instagram.com/p/DaOeZ5rluPw/
